dia,mes,nombre
1,1,Día Mundial de la Paz
4,1,Día Mundial del Braille
24,1,Día Internacional de la Educación
27,1,Día Internacional en Memoria de las Víctimas del Holocausto
2,2,Día Mundial de los Humedales
4,2,Día Mundial contra el Cáncer
6,2,Día Internacional de Tolerancia Cero con la Mutilación Genital Femenina
11,2,Día Internacional de la Mujer y la Niña en la Ciencia
13,2,Día Mundial de la Radio
20,2,Día Mundial de la Justicia Social
21,2,Día Internacional de la Lengua Materna
1,3,Día de la Cero Discriminación
3,3,Día Mundial de la Vida Silvestre
8,3,Día Internacional de la Mujer
20,3,Día Internacional de la Felicidad
21,3,Día Mundial del Síndrome de Down
22,3,Día Mundial del Agua
23,3,Día Meteorológico Mundial
24,3,Día Mundial de la Tuberculosis
7,4,Día Mundial de la Salud
22,4,Día Internacional de la Madre Tierra
23,4,Día Mundial del Libro y del Derecho de Autor
25,4,Día Mundial del Paludismo
26,4,Día Internacional de Concienciación sobre el Ruido
28,4,Día Mundial de la Seguridad y la Salud en el Trabajo
30,4,Día Internacional del Jazz
1,5,Día Internacional del Trabajador
3,5,Día Mundial de la Libertad de Prensa
8,5,Día Mundial de la Cruz Roja y de la Media Luna Roja
12,5,Día Internacional de la Enfermería
15,5,Día Internacional de la Familia
17,5,Día Internacional contra la Homofobia, Transfobia y Bifobia
20,5,Día Mundial de las Abejas
21,5,Día Mundial de la Diversidad Cultural
22,5,Día Internacional de la Biodiversidad
31,5,Día Mundial sin Tabaco
1,6,Día Mundial de las Madres y los Padres
3,6,Día Mundial de la Bicicleta
5,6,Día Mundial del Medio Ambiente
8,6,Día Mundial de los Océanos
12,6,Día Mundial contra el Trabajo Infantil
14,6,Día Mundial del Donante de Sangre
15,6,Día Mundial de Toma de Conciencia del Abuso y Maltrato en la Vejez
20,6,Día Mundial de los Refugiados
21,6,Día Internacional del Yoga
26,6,Día Internacional de la Lucha contra el Uso Indebido y el Tráfico Ilícito de Drogas
30,6,Día Internacional de los Asteroides
1,7,Día Internacional del Reggae
2,7,Día Mundial de los OVNIs
11,7,Día Mundial de la Población
15,7,Día Mundial de las Habilidades de la Juventud
18,7,Día Internacional de Nelson Mandela
28,7,Día Mundial contra la Hepatitis
30,7,Día Internacional de la Amistad
8,8,Día Internacional del Gato
9,8,Día Internacional de los Pueblos Indígenas
12,8,Día Internacional de la Juventud
19,8,Día Mundial de la Asistencia Humanitaria
23,8,Día Internacional del Recuerdo de la Trata de Esclavos y su Abolición
29,8,Día Internacional contra los Ensayos Nucleares
5,9,Día Internacional de la Caridad
8,9,Día Internacional de la Alfabetización
10,9,Día Mundial para la Prevención del Suicidio
12,9,Día de las Naciones Unidas para la Cooperación Sur-Sur
15,9,Día Internacional de la Democracia
16,9,Día Internacional de la Preservación de la Capa de Ozono
21,9,Día Internacional de la Paz
23,9,Día Internacional de las Lenguas de Señas
27,9,Día Mundial del Turismo
1,10,Día Internacional de las Personas Mayores
2,10,Día Internacional de la No Violencia
5,10,Día Mundial de los Docentes
10,10,Día Mundial de la Salud Mental
11,10,Día Internacional de la Niña
13,10,Día Internacional para la Reducción del Riesgo de Desastres
15,10,Día Internacional de las Mujeres Rurales
16,10,Día Mundial de la Alimentación
17,10,Día Internacional para la Erradicación de la Pobreza
24,10,Día de las Naciones Unidas
31,10,Día Mundial de las Ciudades
2,11,Día Internacional para Poner Fin a la Impunidad de los Crímenes contra Periodistas
14,11,Día Mundial de la Diabetes
16,11,Día Internacional para la Tolerancia
19,11,Día Mundial del Retrete
20,11,Día Universal del Niño
21,11,Día Mundial de la Televisión
25,11,Día Internacional de la Eliminación de la Violencia contra la Mujer
1,12,Día Mundial de la Lucha contra el Sida
2,12,Día Internacional para la Abolición de la Esclavitud
3,12,Día Internacional de las Personas con Discapacidad
5,12,Día Internacional de los Voluntarios
9,12,Día Internacional contra la Corrupción
10,12,Día de los Derechos Humanos
18,12,Día Internacional del Migrante
20,12,Día Internacional de la Solidaridad Humana
